0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
0,0,1,b,0,0,0,0,0,0,0,D,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,C,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,A
0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
d,0,0,0,0,0,0,0,0,0,0,0,0,B,1,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,c,0,0,1,0,0,0,0,0,a,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0


// 0- free space
// 1- wall
// a, b, c, d - robot's position
// A, B, C, D - goal
// Map with 4 robots
