1,1,0,1,b,0,0,0,0,0,0,1,0,1,1,1
1,0,0,1,0,0,1,0,0,0,0,1,0,a,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,C
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,D,0,0,0,0,1,1,0,0,1,1,0,0,0
0,0,0,0,c,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,A,0,0,1,0,0,0,1,1,d,0,0,0,0
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0

// 0- free space
// 1- wall
// a, b, c, d- robot's position
// A, B, C, D- goal
//Map with 4 robots
