0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
0,0,b,1,1,0,0,0,0,0,d,1,1,D,0,0
1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,e,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,1,0,0,0,0,A,1
1,0,0,0,0,E,1,0,0,1,0,0,0,0,0,1
1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
1,0,0,0,0,1,0,0,0,C,1,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
0,0,1,1,0,0,0,0,0,0,0,f,1,1,0,0
0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
0,0,1,c,0,0,0,a,0,0,0,0,B,1,0,0
0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0


// 0- free space
// 1- wall
// a, b, c, d, e, f - robot's position
// A, B, C, D, e, f - goal
// Map with 5 robots
