1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1
1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,0,0,C,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,1,0,B,0,0,0
1,0,0,b,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,A,0,0,0,0,D,0,0,0,0,1,1
E,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,1,0,0,0,d,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
