1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1
0,0,1,a,0,1,0,1,1,1,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1
1,0,0,0,0,1,0,0,A,1,0,0,1,0,0,1
1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


// 0- free space
// 1- wall
// A- robot's position
// a- goal
